,nominal_temperature,boundary_conditions
0,92,"[2, 43, 24, 80, 63, 43, 23, 78, 73, 72, 20, 85, 58, 93, 9, 75, 65, 19, 74, 91, 5, 15, 22, 51, 15, 7, 28, 40, 49, 70, 57, 55, 64, 15, 32, 74]"
1,91,"[60, 52, 19, 0, 28, 6, 24, 67, 24, 66, 58, 30, 42, 69, 34, 24, 65, 37, 82, 8, 44, 45, 38, 22, 68, 63, 25, 30, 67, 51, 56, 67, 39, 84, 50, 56]"
2,27,"[57, 24, 31, 77, 8, 96, 5, 86, 95, 43, 59, 58, 17, 87, 72, 75, 75, 64, 11, 37, 38, 49, 69, 98, 17, 98, 22, 59, 12, 16, 16, 75, 54, 60, 10, 21]"
3,36,"[65, 77, 61, 71, 48, 79, 32, 91, 37, 84, 69, 70, 8, 13, 10, 2, 16, 70, 78, 1, 32, 2, 52, 80, 42, 15, 10, 59, 21, 27, 72, 77, 76, 30, 90, 40]"
4,25,"[30, 45, 40, 56, 42, 0, 13, 28, 83, 2, 53, 5, 96, 0, 21, 14, 93, 8, 47, 14, 59, 56, 6, 6, 65, 27, 75, 43, 62, 47, 1, 64, 91, 21, 44, 7]"
5,41,"[6, 64, 72, 22, 96, 20, 87, 88, 5, 12, 96, 34, 52, 42, 16, 87, 93, 17, 5, 17, 34, 61, 73, 64, 20, 56, 74, 93, 72, 44, 52, 4, 10, 59, 56, 4]"
6,10,"[14, 43, 91, 72, 42, 93, 70, 8, 41, 25, 37, 91, 9, 16, 8, 68, 40, 90, 15, 27, 17, 66, 44, 12, 73, 96, 75, 11, 92, 63, 77, 3, 42, 40, 3, 75]"
7,34,"[46, 32, 31, 39, 77, 79, 60, 57, 59, 73, 48, 70, 61, 19, 67, 40, 36, 74, 89, 21, 97, 19, 12, 87, 12, 74, 65, 62, 31, 1, 83, 90, 97, 49, 88, 28]"
8,36,"[24, 68, 22, 83, 14, 83, 47, 97, 34, 49, 68, 56, 100, 12, 77, 90, 19, 25, 13, 89, 45, 100, 77, 64, 37, 26, 68, 87, 63, 79, 66, 73, 97, 23, 94, 48]"
9,70,"[82, 58, 35, 64, 19, 64, 49, 41, 28, 11, 63, 55, 92, 88, 15, 53, 68, 23, 61, 12, 37, 56, 18, 86, 10, 93, 72, 18, 65, 75, 81, 34, 29, 53, 53, 29]"
10,58,"[85, 1, 82, 0, 81, 47, 28, 4, 32, 60, 21, 52, 25, 53, 24, 72, 30, 63, 58, 77, 10, 16, 3, 90, 41, 45, 43, 31, 59, 14, 17, 74, 61, 56, 72, 74]"
11,36,"[20, 73, 43, 65, 67, 3, 57, 70, 79, 77, 55, 21, 83, 36, 79, 68, 17, 43, 32, 60, 85, 63, 10, 2, 5, 14, 35, 90, 26, 87, 72, 84, 63, 10, 3, 38]"
12,45,"[39, 78, 93, 1, 5, 43, 75, 32, 88, 32, 78, 95, 26, 71, 99, 95, 100, 41, 68, 93, 41, 93, 85, 38, 10, 82, 49, 56, 100, 79, 65, 33, 66, 65, 95, 20]"
13,55,"[66, 82, 14, 76, 98, 5, 46, 21, 82, 17, 92, 53, 33, 23, 55, 100, 15, 10, 68, 33, 19, 35, 44, 82, 8, 83, 72, 26, 67, 84, 81, 75, 36, 91, 50, 50]"
14,77,"[81, 49, 92, 85, 91, 36, 86, 2, 77, 81, 75, 80, 42, 48, 35, 66, 27, 49, 18, 40, 23, 29, 84, 39, 21, 59, 14, 42, 43, 98, 38, 18, 99, 100, 85, 71]"
15,77,"[93, 32, 82, 15, 82, 56, 23, 90, 4, 51, 69, 58, 42, 66, 92, 89, 85, 97, 31, 20, 51, 39, 47, 100, 74, 40, 83, 86, 25, 90, 32, 5, 41, 24, 23, 94]"
16,64,"[51, 8, 42, 17, 29, 22, 66, 32, 8, 11, 84, 9, 54, 66, 72, 84, 50, 13, 30, 97, 8, 27, 35, 2, 8, 0, 70, 94, 91, 91, 14, 42, 41, 99, 23, 39]"
17,13,"[72, 88, 6, 18, 37, 88, 7, 9, 31, 92, 5, 11, 64, 0, 46, 29, 44, 31, 42, 76, 66, 72, 20, 17, 40, 32, 60, 15, 33, 72, 98, 13, 67, 9, 87, 93]"
18,54,"[98, 71, 17, 40, 59, 23, 53, 26, 81, 57, 51, 29, 59, 55, 87, 93, 46, 45, 49, 58, 30, 4, 73, 71, 2, 15, 96, 44, 50, 30, 72, 31, 52, 6, 100, 91]"
19,97,"[12, 14, 21, 71, 78, 75, 57, 64, 5, 6, 92, 49, 28, 4, 29, 17, 91, 32, 24, 94, 1, 46, 22, 73, 30, 73, 33, 67, 9, 97, 40, 48, 29, 87, 79, 12]"
20,57,"[34, 14, 93, 41, 63, 65, 9, 7, 78, 66, 21, 17, 8, 3, 87, 37, 26, 76, 4, 20, 25, 69, 37, 11, 88, 0, 100, 21, 36, 22, 84, 84, 60, 48, 96, 58]"
21,31,"[87, 63, 84, 9, 99, 49, 29, 43, 71, 66, 88, 80, 29, 38, 84, 93, 4, 58, 64, 52, 91, 24, 42, 65, 100, 57, 86, 12, 97, 0, 5, 62, 80, 82, 14, 45]"
22,19,"[1, 63, 51, 97, 47, 1, 41, 10, 75, 5, 8, 98, 5, 94, 71, 90, 78, 80, 83, 52, 79, 42, 85, 49, 6, 69, 56, 41, 37, 53, 93, 88, 88, 44, 18, 91]"
23,10,"[29, 51, 1, 4, 86, 57, 96, 35, 93, 96, 22, 54, 58, 98, 41, 44, 90, 71, 70, 22, 72, 29, 36, 9, 19, 30, 76, 9, 51, 51, 76, 31, 64, 72, 51, 23]"
24,24,"[77, 95, 21, 56, 76, 33, 95, 74, 42, 50, 100, 39, 38, 28, 79, 32, 55, 86, 67, 32, 51, 88, 96, 3, 66, 68, 22, 4, 88, 0, 11, 68, 83, 74, 1, 3]"
25,95,"[29, 64, 30, 14, 8, 76, 40, 75, 72, 88, 93, 53, 48, 16, 64, 0, 34, 47, 56, 15, 12, 12, 91, 73, 15, 85, 91, 78, 11, 30, 35, 52, 29, 47, 20, 81]"
26,78,"[52, 93, 81, 60, 49, 16, 10, 53, 1, 21, 31, 60, 51, 86, 98, 69, 8, 66, 71, 5, 10, 5, 6, 21, 99, 31, 40, 33, 6, 18, 54, 69, 19, 44, 18, 83]"
27,77,"[57, 75, 1, 6, 41, 63, 100, 47, 39, 85, 47, 55, 40, 83, 49, 31, 43, 54, 92, 81, 72, 77, 59, 33, 8, 75, 37, 94, 6, 63, 38, 2, 39, 49, 4, 16]"
28,56,"[56, 53, 48, 64, 31, 67, 58, 82, 76, 66, 29, 27, 83, 96, 52, 73, 75, 74, 87, 47, 63, 98, 86, 44, 94, 38, 80, 7, 3, 11, 1, 28, 83, 72, 86, 35]"
29,49,"[53, 62, 41, 90, 75, 23, 75, 23, 100, 53, 56, 30, 36, 81, 28, 3, 28, 30, 32, 31, 11, 14, 22, 21, 11, 8, 97, 17, 95, 10, 87, 15, 90, 49, 87, 7]"
30,47,"[48, 49, 69, 29, 88, 22, 73, 81, 69, 99, 83, 9, 85, 48, 87, 48, 28, 70, 26, 90, 54, 61, 34, 68, 46, 71, 3, 60, 92, 26, 93, 59, 84, 5, 59, 51]"
31,76,"[27, 90, 90, 76, 9, 2, 51, 34, 11, 42, 97, 21, 31, 41, 40, 81, 29, 9, 66, 22, 99, 26, 73, 11, 61, 60, 4, 84, 36, 49, 94, 22, 59, 24, 41, 74]"
32,5,"[5, 84, 21, 64, 3, 77, 32, 14, 13, 18, 72, 37, 93, 95, 5, 15, 86, 21, 92, 14, 82, 81, 43, 14, 13, 76, 88, 14, 16, 90, 88, 89, 4, 8, 77, 56]"
33,6,"[22, 48, 2, 36, 73, 80, 98, 6, 4, 100, 50, 57, 71, 33, 48, 65, 59, 50, 92, 77, 13, 31, 100, 91, 60, 0, 36, 90, 3, 39, 11, 97, 45, 36, 94, 100]"
34,59,"[69, 97, 28, 24, 0, 88, 23, 52, 8, 95, 84, 70, 94, 73, 36, 13, 43, 59, 14, 60, 67, 96, 31, 67, 50, 20, 28, 85, 35, 97, 17, 45, 75, 42, 40, 27]"
35,15,"[12, 25, 16, 39, 93, 56, 6, 75, 16, 73, 79, 72, 8, 20, 82, 88, 29, 74, 40, 99, 21, 84, 52, 78, 72, 25, 64, 32, 81, 96, 18, 86, 29, 42, 64, 26]"
36,5,"[56, 19, 76, 34, 87, 24, 59, 16, 36, 6, 18, 39, 26, 58, 49, 65, 55, 81, 70, 18, 32, 12, 55, 3, 31, 48, 47, 68, 66, 72, 94, 24, 10, 1, 54, 23]"
37,42,"[69, 51, 72, 100, 39, 60, 50, 14, 88, 6, 96, 7, 31, 1, 37, 78, 53, 88, 91, 66, 10, 37, 31, 41, 84, 38, 63, 99, 93, 99, 16, 19, 70, 29, 91, 1]"
38,44,"[82, 50, 97, 72, 3, 85, 53, 33, 88, 41, 6, 28, 91, 9, 78, 14, 24, 85, 82, 91, 89, 9, 83, 29, 55, 76, 94, 45, 73, 67, 65, 76, 2, 5, 5, 52]"
